Stage,Lake Area (acres),Volume
3937.3,32776,1834600
3937.4,32798,1837800
3937.5,32820,1841000
3937.6,32836,1844400
3937.7,32852,1847800
3937.8,32868,1851200
3937.9,32884,1854600
3938.0,32900,1858000
3938.1,32914,1861200
3938.2,32928,1864400
3938.3,32942,1867600
3938.4,32956,1870800
3938.5,32970,1874000
3938.6,32982,1877200
3938.7,32994,1880400
3938.8,33006,1883600
3938.9,33018,1886800
3939.0,33030,1890000
3939.1,33042,1893400
3939.2,33054,1896800
3939.3,33066,1900200
3939.4,33078,1903600
3939.5,33090,1907000
3939.6,33106,1910400
3939.7,33122,1913800
3939.8,33138,1917200
3939.9,33154,1920600
3940.0,33170,1924000
3940.1,33188,1927200
3940.2,33206,1930400
3940.3,33224,1933600
3940.4,33242,1936800
3940.5,33260,1940000
3940.6,33280,1943400
3940.7,33300,1946800
3940.8,33320,1950200
3940.9,33340,1953600
3941.0,33360,1957000
3941.1,33378,1960400
3941.2,33396,1963800
3941.3,33414,1967200
3941.4,33432,1970600
3941.5,33450,1974000
3941.6,33468,1977200
3941.7,33486,1980400
3941.8,33504,1983600
3941.9,33522,1986800
3942.0,33540,1990000
3942.1,33556,1993400
3942.2,33572,1996800
3942.3,33588,2000200
3942.4,33604,2003600
3942.5,33620,2007000
3942.6,33636,2010400
3942.7,33652,2013800
3942.8,33668,2017200
3942.9,33684,2020600
3943.0,33700,2024000
3943.1,33714,2027400
3943.2,33728,2030800
3943.3,33742,2034200
3943.4,33756,2037600
3943.5,33770,2041000
3943.6,33784,2044400
3943.7,33798,2047800
3943.8,33812,2051200
3943.9,33826,2054600
3944.0,33840,2058000
3944.1,33858,2061400
3944.2,33876,2064800
3944.3,33894,2068200
3944.4,33912,2071600
3944.5,33930,2075000
3944.6,33950,2078400
3944.7,33970,2081800
3944.8,33990,2085200
3944.9,34010,2088600
3945.0,34030,2092000
3945.1,34050,2095400
3945.2,34070,2098800
3945.3,34090,2102200
3945.4,34110,2105600
3945.5,34130,2109000
3945.6,34150,2112400
3945.7,34170,2115800
3945.8,34190,2119200
3945.9,34210,2122600
3946.0,34230,2126000
3946.1,34250,2129400
3946.2,34270,2132800
3946.3,34290,2136200
3946.4,34310,2139600
3946.5,34330,2143000
3946.6,34348,2146400
3946.7,34366,2149800
3946.8,34384,2153200
3946.9,34402,2156600
3947.0,34420,2160000
3947.1,34440,2163400
3947.2,34460,2166800
3947.3,34480,2170200
3947.4,34500,2173600
3947.5,34520,2177000
3947.6,34540,2180600
3947.7,34560,2184200
3947.8,34580,2187800
3947.9,34600,2191400
3948.0,34620,2195000
3948.1,34640,2198400
3948.2,34660,2201800
3948.3,34680,2205200
3948.4,34700,2208600
3948.5,34720,2212000
3948.6,34740,2215400
3948.7,34760,2218800
3948.8,34780,2222200
3948.9,34800,2225600
3949.0,34820,2229000
3949.1,34838,2232600
3949.2,34856,2236200
3949.3,34874,2239800
3949.4,34892,2243400
3949.5,34910,2247000
3949.6,34928,2250400
3949.7,34946,2253800
3949.8,34964,2257200
3949.9,34982,2260600
3950.0,35000,2264000
3950.1,35014,2267600
3950.2,35028,2271200
3950.3,35042,2274800
3950.4,35056,2278400
3950.5,35070,2282000
3950.6,35084,2285400
3950.7,35098,2288800
3950.8,35112,2292200
3950.9,35126,2295600
3951.0,35140,2299000
3951.1,35156,2302600
3951.2,35172,2306200
3951.3,35188,2309800
3951.4,35204,2313400
3951.5,35220,2317000
3951.6,35234,2320600
3951.7,35248,2324200
3951.8,35262,2327800
3951.9,35276,2331400
3952.0,35290,2335000
3952.1,35304,2338400
3952.2,35318,2341800
3952.3,35332,2345200
3952.4,35346,2348600
3952.5,35360,2352000
3952.6,35374,2355600
3952.7,35388,2359200
3952.8,35402,2362800
3952.9,35416,2366400
3953.0,35430,2370000
3953.1,35442,2373600
3953.2,35454,2377200
3953.3,35466,2380800
3953.4,35478,2384400
3953.5,35490,2388000
3953.6,35504,2391400
3953.7,35518,2394800
3953.8,35532,2398200
3953.9,35546,2401600
3954.0,35560,2405000
3954.1,35576,2408600
3954.2,35592,2412200
3954.3,35608,2415800
3954.4,35624,2419400
3954.5,35640,2423000
3954.6,35658,2426600
3954.7,35676,2430200
3954.8,35694,2433800
3954.9,35712,2437400
3955.0,35730,2441000
3955.1,35752,2444600
3955.2,35774,2448200
3955.3,35796,2451800
3955.4,35818,2455400
3955.5,35840,2459000
3955.6,35860,2462600
3955.7,35880,2466200
3955.8,35900,2469800
3955.9,35920,2473400
3956.0,35940,2477000
3956.1,35958,2480600
3956.2,35976,2484200
3956.3,35994,2487800
3956.4,36012,2491400
3956.5,36030,2495000
3956.6,36048,2498600
3956.7,36066,2502200
3956.8,36084,2505800
3956.9,36102,2509400
3957.0,36120,2513000
3957.1,36138,2516600
3957.2,36156,2520200
3957.3,36174,2523800
3957.4,36192,2527400
3957.5,36210,2531000
3957.6,36228,2534600
3957.7,36246,2538200
3957.8,36264,2541800
3957.9,36282,2545400
3958.0,36300,2549000
3958.1,36324,2552600
3958.2,36348,2556200
3958.3,36372,2559800
3958.4,36396,2563400
3958.5,36420,2567000
3958.6,36446,2570800
3958.7,36472,2574600
3958.8,36498,2578400
3958.9,36524,2582200
3959.0,36550,2586000
3959.1,36572,2589600
3959.2,36594,2593200
3959.3,36616,2596800
3959.4,36638,2600400
3959.5,36660,2604000
3959.6,36678,2607600
3959.7,36696,2611200
3959.8,36714,2614800
3959.9,36732,2618400
3960.0,36750,2622000
3960.1,36768,2625800
3960.2,36786,2629600
3960.3,36804,2633400
3960.4,36822,2637200
3960.5,36840,2641000
3960.6,36860,2644600
3960.7,36880,2648200
3960.8,36900,2651800
3960.9,36920,2655400
3961.0,36940,2659000
3961.1,36962,2662800
3961.2,36984,2666600
3961.3,37006,2670400
3961.4,37028,2674200
3961.5,37050,2678000
3961.6,37072,2681600
3961.7,37094,2685200
3961.8,37116,2688800
3961.9,37138,2692400
3962.0,37160,2696000
3962.1,37184,2699800
3962.2,37208,2703600
3962.3,37232,2707400
3962.4,37256,2711200
3962.5,37280,2715000
3962.6,37302,2718600
3962.7,37324,2722200
3962.8,37346,2725800
3962.9,37368,2729400
3963.0,37390,2733000
3963.1,37412,2736800
3963.2,37434,2740600
3963.3,37456,2744400
3963.4,37478,2748200
3963.5,37500,2752000
3963.6,37520,2755800
3963.7,37540,2759600
3963.8,37560,2763400
3963.9,37580,2767200
3964.0,37600,2771000
3964.1,37620,2774800
3964.2,37640,2778600
3964.3,37660,2782400
3964.4,37680,2786200
3964.5,37700,2790000
3964.6,37720,2793800
3964.7,37740,2797600
3964.8,37760,2801400
3964.9,37780,2805200
3965.0,37800,2809000
3965.1,37822,2812800
3965.2,37844,2816600
3965.3,37866,2820400
3965.4,37888,2824200
3965.5,37910,2828000
3965.6,37932,2831600
3965.7,37954,2835200
3965.8,37976,2838800
3965.9,37998,2842400
3966.0,38020,2846000
3966.1,38044,2850000
3966.2,38068,2854000
3966.3,38092,2858000
3966.4,38116,2862000
3966.5,38140,2866000
3966.6,38162,2869800
3966.7,38184,2873600
3966.8,38206,2877400
3966.9,38228,2881200
3967.0,38250,2885000
3967.1,38272,2888800
3967.2,38294,2892600
3967.3,38316,2896400
3967.4,38338,2900200
3967.5,38360,2904000
3967.6,38378,2907800
3967.7,38396,2911600
3967.8,38414,2915400
3967.9,38432,2919200
3968.0,38450,2923000
3968.1,38468,2926800
3968.2,38486,2930600
3968.3,38504,2934400
3968.4,38522,2938200
3968.5,38540,2942000
3968.6,38558,2946000
3968.7,38576,2950000
3968.8,38594,2954000
3968.9,38612,2958000
3969.0,38630,2962000
3969.1,38648,2965800
3969.2,38666,2969600
3969.3,38684,2973400
3969.4,38702,2977200
3969.5,38720,2981000
3969.6,38738,2984800
3969.7,38756,2988600
3969.8,38774,2992400
3969.9,38792,2996200
3970.0,38810,3000000
3970.1,38826,3004000
3970.2,38842,3008000
3970.3,38858,3012000
3970.4,38874,3016000
3970.5,38890,3020000
3970.6,38904,3023800
3970.7,38918,3027600
3970.8,38932,3031400
3970.9,38946,3035200
3971.0,38960,3039000
3971.1,38978,3043000
3971.2,38996,3047000
3971.3,39014,3051000
3971.4,39032,3055000
3971.5,39050,3059000
3971.6,39070,3062800
3971.7,39090,3066600
3971.8,39110,3070400
3971.9,39130,3074200
3972.0,39150,3078000
3972.1,39172,3082000
3972.2,39194,3086000
3972.3,39216,3090000
3972.4,39238,3094000
3972.5,39260,3098000
3972.6,39278,3102000
3972.7,39296,3106000
